seed,beta_mor,beta_rom,beta_catoni,sigma_hat_Ze,all_same_sign,mom_lo,mom_hi,mom_ncomp,mom_unbounded,mom_length,mom_rej0,mom_rejOLS,sn_lo,sn_hi,sn_ncomp,sn_unbounded,sn_length,sn_rej0,sn_rejOLS
540,0.07306372468388739,0.08970589814519946,0.10184948289488323,0.32664534557375413,False,-0.18247921167874928,0.392428708254775,1,False,0.5749079199335243,False,False,-0.011137385528587574,0.1854433418478017,3,False,0.17288464160278985,True,False
541,0.1155894577912872,0.10996379912031766,0.10184864225631443,0.17037133822347605,False,-0.05635215655315199,0.26956164570629426,1,False,0.3259138022594463,False,False,0.0429437956361752,0.14358565467439105,1,False,0.10064185903821585,True,False
542,0.07743221001839519,0.11569612571536461,0.10184860224722082,0.42110317481066606,False,-0.2289703217325861,0.44872169978194615,1,False,0.6776920215145322,False,False,0.0030650282980241687,0.251407802778141,1,False,0.24834277448011685,True,False
543,0.07501883026043046,0.10163759174954556,0.10185002244402042,0.27827753459240023,False,-0.12296303672903906,0.3149179877852599,1,False,0.437881024514299,False,False,-0.014384283087577044,0.15946609257536948,2,False,0.17058458862915116,False,False
544,0.09212104620758566,0.10718321882713769,0.10185156337007738,0.21023831155151526,True,-0.05909933639387998,0.28028857402683954,1,False,0.33938791042071953,False,False,0.0190762362721055,0.13582736702831086,1,False,0.11675113075620536,True,False
545,0.06658522039898992,0.11526657323259809,0.1018507946480496,0.22066386617753767,False,-0.07040518118522449,0.27390035986574685,1,False,0.34430554105097133,False,False,0.02180738989151762,0.11884547857724731,1,False,0.09703808868572969,True,False
546,0.09118447141380687,0.10771046358814336,0.10185189757981983,0.24097063582320188,False,-0.08212535485271405,0.28547301348150156,1,False,0.3675983683342156,False,False,0.06217116329465436,0.15474312407770946,1,False,0.0925719607830551,True,False
547,0.09700602669943009,0.09252023629062217,0.10185167145464245,0.1865669083738162,True,-0.04794673905669794,0.23967292074401167,1,False,0.2876196598007096,False,False,0.06302386254787626,0.1386316578523986,1,False,0.07560779530452233,True,False
548,0.10672621787711475,0.1100262295439669,0.10184886910154255,0.22350258009000826,True,-0.06593754661797908,0.2863826379713705,1,False,0.35232018458934955,False,False,0.047570898183890764,0.1612099674907088,1,False,0.11363906930681802,True,False
549,0.08472161654777213,0.0841675036142855,0.10185184331575728,0.31644839664342717,False,-0.16386599635761193,0.39720201420212176,1,False,0.5610680105597337,False,False,0.015662899837345663,0.2189517213851782,1,False,0.20328882154783254,True,False
550,0.10259568317994361,0.09835415152592623,0.10184944526346179,0.2514813469187656,False,-0.09403149102444504,0.32057977766123286,1,False,0.4146112686856779,False,False,0.02176862970801377,0.21004839188091678,1,False,0.18827976217290301,True,False
551,0.09824859178796436,0.08936503864419622,0.10184967935634492,0.18938083889044124,False,-0.05420076425132641,0.2641335475239771,1,False,0.3183343117753035,False,False,0.06795133688294214,0.1668386127045446,1,False,0.09888727582160245,True,False
552,0.09797745023174884,0.10832080949926433,0.10184764200470348,0.24568105305582186,False,-0.10807918553107251,0.27993036800572124,1,False,0.3880095535367938,False,False,0.0220708137269649,0.2051272032485878,1,False,0.1830563895216229,True,False
553,0.0891377278164361,0.0945858056450922,0.10184930490164304,0.3196699678226563,False,-0.15973828676210405,0.35300045460094803,1,False,0.5127387413630521,False,False,0.041460731997230105,0.18661299133958464,1,False,0.14515225934235454,True,False
554,0.07352006890528591,0.08174265918475396,0.1018505974973843,0.24300899102309972,False,-0.10269125561412477,0.3114347372949718,1,False,0.4141259929090966,False,False,0.03452916823684547,0.17248115232434424,1,False,0.13795198408749876,True,False
555,0.076658099451091,0.06874714378658991,0.10184916134691054,0.28689603444784534,False,-0.12704513742242798,0.3618720600362012,1,False,0.48891719745862916,False,False,-0.003990502497763398,0.1512913464585135,1,False,0.1552818489562769,False,False
556,0.10176584039092132,0.09355138348630902,0.10184907109740138,0.1820176655224884,False,-0.04627002425420773,0.2597774947228363,1,False,0.306047518977044,False,False,0.03878347061820857,0.16653277268687627,1,False,0.1277493020686677,True,False
