dist,estimator,delta,quantile_abs_err
t(2.1),Catoni,0.007151559675115222,0.037274388769419756
t(2.1),Catoni,0.008239225858265201,0.03657305502065235
t(2.1),Catoni,0.009492312981701037,0.035757035741220564
t(2.1),Catoni,0.010935979580191029,0.03505900919268451
t(2.1),Catoni,0.012599210498948727,0.03426170376751198
t(2.1),Catoni,0.014515398829415806,0.03343937636271336
t(2.1),Catoni,0.016723016350475777,0.032520566295375315
t(2.1),Catoni,0.019266385935710145,0.031667241668552365
t(2.1),Catoni,0.022196571434504937,0.03075864929401579
t(2.1),Catoni,0.025572402893367062,0.02990427987324294
t(2.1),Catoni,0.029461657701067987,0.029196384112370615
t(2.1),Catoni,0.033942421371752934,0.02830591911922507
t(2.1),Catoni,0.03910465528678882,0.027407394898645635
t(2.1),Catoni,0.045052002871285045,0.026492089632652257
t(2.1),Catoni,0.05190387046833238,0.02561063425253021
t(2.1),Catoni,0.059797824689177534,0.024730787771068016
t(2.1),Catoni,0.06889235437151585,0.023859061611014917
t(2.1),Catoni,0.07937005259840996,0.0229461086634375
t(2.1),Catoni,0.09144128266400184,0.022043947786573447
t(2.1),Catoni,0.10534840158850287,0.02108033793434218
t(2.1),Catoni,0.12137062597899873,0.020110619170762883
t(2.1),Catoni,0.13982963792914008,0.01913336102850449
t(2.1),Catoni,0.1610960435087286,0.018133290208994155
t(2.1),Catoni,0.1855968135118648,0.01711918828939734
t(2.1),Catoni,0.2138238558533658,0.01603980744078575
t(2.1),Catoni,0.24634389172354024,0.014907294601398946
t(2.1),Catoni,0.2838098337872815,0.013761685687988178
t(2.1),Catoni,0.326973894870344,0.012529018527153936
t(2.1),Catoni,0.37670269031909065,0.011295926567121403
t(2.1),Catoni,0.4339946372474493,0.00997273181044198
t(2.1),Catoni,0.5,0.008636164413755754
