figure,dist,mu,gamma,estimator,B,R,q_dev,mad_err,median_bias,sd_part,sd_samp,share,fail_t1
strength,t(2.1),0.2,62.499999999999986,Median-of-Ratios,5,101,0.10386183037383717,0.035273365153470126,0.023686213413425694,0.025462628636178933,0.03969942726590212,0.29147112791446383,0.0129009900990099
strength,t(2.1),0.2,62.499999999999986,Median-of-Ratios,25,20,0.09432794162328599,0.032175574519946626,0.023727835385225604,0.011822469597726312,0.039611018647505346,0.08179453072329808,0.004975
strength,t(2.1),0.2,62.499999999999986,Median-of-Ratios,101,5,0.09202283121283207,0.03165573885260997,0.023820458195757288,0.005833689748159723,0.039557072531947395,0.021286005394574106,0.0035
strength,t(2.1),0.2,62.499999999999986,Ratio-of-Medians,1,505,0.2547689223202166,0.0791264402664641,1.7858653549862602e-05,0.11400742842971236,0.05779294918516718,0.7955635646408807,0.05
strength,t(2.1),0.2,62.499999999999986,Ratio-of-Medians,5,101,0.1618988654287562,0.05196552032466539,0.00021311861778405827,0.05850420279504666,0.056954081176487745,0.5134233958991282,0.005113861386138614
strength,t(2.1),0.2,62.499999999999986,Ratio-of-Medians,25,20,0.1232691213076888,0.039674121976561894,0.0003930281223626375,0.026877938277483946,0.05660219623707428,0.18399919618229918,0.000975
strength,t(2.1),0.2,62.499999999999986,Ratio-of-Medians,101,5,0.11532170226103115,0.036547992812364316,0.00020161811555063913,0.013546951417883252,0.05670430397434292,0.05399393971045565,0.0007
strength,t(2.1),0.1,249.99999999999994,Median-of-Ratios,1,505,0.22004521344669464,0.07572175805231579,0.06378554429055039,0.08458087584429043,0.036787329559327474,0.8409226892699361,0.05
strength,t(2.1),0.1,249.99999999999994,Median-of-Ratios,5,101,0.15936762229410345,0.06556976369434597,0.06427375827196591,0.043292356543997206,0.03607910970321424,0.5901351612751856,0.004940594059405941
strength,t(2.1),0.1,249.99999999999994,Median-of-Ratios,25,20,0.13305300680045395,0.06500411443732679,0.06492201261428598,0.019823559200207067,0.035855517000960055,0.2341090588395712,5e-05
