dist,estimator,delta,quantile_abs_err
"Mix(0.1,3)",Ratio-of-Medians,0.2838098337872815,0.04214196340375398
"Mix(0.1,3)",Ratio-of-Medians,0.326973894870344,0.03853409853167553
"Mix(0.1,3)",Ratio-of-Medians,0.37670269031909065,0.03467346651508936
"Mix(0.1,3)",Ratio-of-Medians,0.4339946372474493,0.03063017258648366
"Mix(0.1,3)",Ratio-of-Medians,0.5,0.02635596394045997
"Mix(0.1,3)",Median-of-Ratios,0.002,0.08301004351479344
"Mix(0.1,3)",Median-of-Ratios,0.002304175937155263,0.08191298524586077
"Mix(0.1,3)",Median-of-Ratios,0.0026546133746826648,0.08059806158917383
"Mix(0.1,3)",Median-of-Ratios,0.003058348130197162,0.07982394217909444
"Mix(0.1,3)",Median-of-Ratios,0.0035234860845220423,0.07873672043875957
"Mix(0.1,3)",Median-of-Ratios,0.004059365925428552,0.07766691620865603
"Mix(0.1,3)",Median-of-Ratios,0.004676746642740232,0.07683649864681445
"Mix(0.1,3)",Median-of-Ratios,0.005388023539186853,0.0756806218941272
"Mix(0.1,3)",Median-of-Ratios,0.006207477093910235,0.07390674813765663
"Mix(0.1,3)",Median-of-Ratios,0.007151559675115222,0.07274826452248766
"Mix(0.1,3)",Median-of-Ratios,0.008239225858265201,0.07103699972178748
"Mix(0.1,3)",Median-of-Ratios,0.009492312981701037,0.06984535526344283
"Mix(0.1,3)",Median-of-Ratios,0.010935979580191029,0.06844193367140204
"Mix(0.1,3)",Median-of-Ratios,0.012599210498948727,0.06700772051681014
"Mix(0.1,3)",Median-of-Ratios,0.014515398829415806,0.06570126022090429
"Mix(0.1,3)",Median-of-Ratios,0.016723016350475777,0.06453363797187403
"Mix(0.1,3)",Median-of-Ratios,0.019266385935710145,0.06297229714421816
"Mix(0.1,3)",Median-of-Ratios,0.022196571434504937,0.06151921259175413
"Mix(0.1,3)",Median-of-Ratios,0.025572402893367062,0.059959555850094215
"Mix(0.1,3)",Median-of-Ratios,0.029461657701067987,0.05861994567382353
"Mix(0.1,3)",Median-of-Ratios,0.033942421371752934,0.0569842073590676
"Mix(0.1,3)",Median-of-Ratios,0.03910465528678882,0.055427657928648795
"Mix(0.1,3)",Median-of-Ratios,0.045052002871285045,0.05383132498772889
"Mix(0.1,3)",Median-of-Ratios,0.05190387046833238,0.052170230771631604
"Mix(0.1,3)",Median-of-Ratios,0.059797824689177534,0.050508029371065834
"Mix(0.1,3)",Median-of-Ratios,0.06889235437151585,0.04876671281238433
"Mix(0.1,3)",Median-of-Ratios,0.07937005259840996,0.047007301434870724
"Mix(0.1,3)",Median-of-Ratios,0.09144128266400184,0.04516038215029067
"Mix(0.1,3)",Median-of-Ratios,0.10534840158850287,0.04326418614654435
"Mix(0.1,3)",Median-of-Ratios,0.12137062597899873,0.04143991008456555
"Mix(0.1,3)",Median-of-Ratios,0.13982963792914008,0.039468589078243764
"Mix(0.1,3)",Median-of-Ratios,0.1610960435087286,0.03738263246210117
"Mix(0.1,3)",Median-of-Ratios,0.1855968135118648,0.035270143821947875
"Mix(0.1,3)",Median-of-Ratios,0.2138238558533658,0.03311314692184165
"Mix(0.1,3)",Median-of-Ratios,0.24634389172354024,0.030983508986257877
"Mix(0.1,3)",Median-of-Ratios,0.2838098337872815,0.028707659675595045
"Mix(0.1,3)",Median-of-Ratios,0.326973894870344,0.02629863517722896
"Mix(0.1,3)",Median-of-Ratios,0.37670269031909065,0.023726089742815315
"Mix(0.1,3)",Median-of-Ratios,0.4339946372474493,0.020878986502833336
"Mix(0.1,3)",Median-of-Ratios,0.5,0.017973836706517476
"Mix(0.1,3)",Catoni,0.002,0.06863356522702803
"Mix(0.1,3)",Catoni,0.002304175937155263,0.06793848489857784
"Mix(0.1,3)",Catoni,0.0026546133746826648,0.0668726885582138
"Mix(0.1,3)",Catoni,0.003058348130197162,0.06626246019405733
"Mix(0.1,3)",Catoni,0.0035234860845220423,0.06547966155865911
"Mix(0.1,3)",Catoni,0.004059365925428552,0.06436298265792258
"Mix(0.1,3)",Catoni,0.004676746642740232,0.06336518604224922
"Mix(0.1,3)",Catoni,0.005388023539186853,0.062311422263448685
"Mix(0.1,3)",Catoni,0.006207477093910235,0.061228785473367034
"Mix(0.1,3)",Catoni,0.007151559675115222,0.0600485617302829
"Mix(0.1,3)",Catoni,0.008239225858265201,0.058993867469015436
"Mix(0.1,3)",Catoni,0.009492312981701037,0.05784770990400185
"Mix(0.1,3)",Catoni,0.010935979580191029,0.056636414499856694
"Mix(0.1,3)",Catoni,0.012599210498948727,0.05546217165168154
"Mix(0.1,3)",Catoni,0.014515398829415806,0.0544569837837681
